column_name,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020,Q4 2019,Q3 2019,Q2 2019,Q1 2019,Q4 2018,Q3 2018,Q2 2018,Q1 2018,Q4 2017,Q3 2017,Q2 2017,Q1 2017,Q4 2016,Q3 2016,Q2 2016,Q1 2016,Q4 2015,Q3 2015,Q2 2015,Q1 2015,Q4 2014,Q3 2014,Q2 2014,Q1 2014,Q4 2013,Q3 2013,Q2 2013,Q1 2013,Q4 2012,Q3 2012,Q2 2012,Q1 2012,Q4 2011,Q3 2011,Q2 2011,Q1 2011,Q4 2010,Q3 2010,Q2 2010,Q1 2010,Q4 2009,Q3 2009,Q2 2009,Q1 2009,Q4 2008,Q3 2008,Q2 2008,Q1 2008,Q4 2007,company_id
Return on Capital Employed (Quarter),0.0493,0.0327,0.049400000000000006,0.0752,0.0487,0.044000000000000004,0.0375,0.0268,0.022799999999999997,0.0221,0.0333,0.0255,0.021800000000000003,0.022400000000000003,0.0262,0.0292,0.0192,0.0197,0.021400000000000002,0.0193,0.0173,0.0196,0.0202,0.0192,0.0118,0.0441,0.0338,0.0134,0.0246,0.040999999999999995,0.0316,0.0258,0.03,0.0417,0.0432,0.0358,0.033,0.032400000000000005,0.028999999999999998,0.0229,0.0235,0.0305,0.0276,0.0379,0.0433,0.0391,0.0444,0.0433,0.045700000000000005,0.0348,0.0367,0.0319,0.0358,0.030699999999999998,0.038900000000000004,0.0452,0.056100000000000004,0.04820000000000001,0.0421,-0.0043,0.0667,0.0741,0.0761,0.4069,AKRA
Interest Coverage (Quarter),40.39,32.85,46.8,123.92,44.03,39.96,36.21,48.86,18.93,18.79,27.82,21.75,162.06,6.63,7.72,13.84,7.38,13.33,7.62,5.79,22.31,26.43,8.91,66.06,20.45,34.52,25.97,63.06,15.75,18.03,16.1,8.29,10.15,12.66,16.74,9.39,5.69,7.36,10.04,2.61,34.76,10.77,11.73,14.09,15.37,11.55,22.36,14.57,27.12,20.38,12.98,5.64,4.23,5.08,5.06,5.28,5.57,5.09,3.56,-0.27,6.39,9.28,9.64,7.2,AKRA
Share Outstanding,51010000000.0,51010000000.0,51010000000.0,51010000000.0,51010000000.0,51010000000.0,51010000000.0,51010000000.0,51010000000.0,51010000000.0,51010000000.0,51010000000.0,51010000000.0,51010000000.0,51010000000.0,51010000000.0,51010000000.0,51010000000.0,51010000000.0,51010000000.0,51010000000.0,51010000000.0,10200000000.0,10200000000.0,10200000000.0,10200000000.0,10200000000.0,10200000000.0,10200000000.0,10200000000.0,10200000000.0,10200000000.0,10200000000.0,10200000000.0,10200000000.0,10200000000.0,10200000000.0,10200000000.0,10200000000.0,10200000000.0,10200000000.0,1020000000.0,1020000000.0,1020000000.0,1020000000.0,1020000000.0,1020000000.0,1020000000.0,1020000000.0,1020000000.0,1020000000.0,1020000000.0,1020000000.0,1020000000.0,1020000000.0,980000000.0,1020000000.0,1020000000.0,0.0,0.0,0.0,0.0,0.0,0.0,TOWR
EPS (Quarter),16.98,15.81,14.75,17.31,17.01,16.42,16.73,16.62,17.44,17.65,15.47,18.19,11.9,15.33,10.17,14.6,11.83,10.21,9.26,9.68,12.28,11.0,50.84,18.64,62.13,61.41,63.65,71.69,96.4,79.06,50.77,242.41,1.16,29.84,16.55,-4.98,30.26,13.01,44.1,5.57,-22.46,164.0,170.11,94.52,119.13,52.59,73.69,14.99,11.27,103.73,148.25,28.65,107.28,-142.28,104.38,86.59,146.79,333.43,29922.66,-961416.65,0.0,0.0,0.0,0.0,TOWR
PE Ratio (Quarter),56.54,66.73,62.71,63.55,72.6,66.99,63.96,67.69,75.97,70.25,71.11,52.78,86.97,66.54,66.37,55.14,55.37,69.05,84.77,71.28,39.74,56.36,70.42,214.59,71.95,61.72,60.96,49.94,40.46,53.76,86.67,19.59,3439.66,134.05,242.9,-833.33,138.8,305.53,90.02,493.72,-123.55,149.39,152.84,240.16,167.04,294.73,176.41,667.11,905.06,106.04,67.45,452.01,68.98,-16.87,22.51,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,TOWR
Price to Sales (Quarter),16.64,18.48,16.47,19.16,22.58,20.81,20.84,22.35,32.26,31.39,28.68,25.91,28.24,27.9,18.92,22.82,20.54,23.26,27.02,23.12,16.16,21.92,26.82,30.01,34.17,29.08,30.14,27.64,30.41,34.61,38.36,40.52,35.94,38.05,38.38,41.06,36.78,40.69,44.36,31.11,34.8,32.83,36.83,35.85,34.09,29.18,27.55,22.59,24.38,27.83,27.65,37.99,21.98,7.24,7.35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TOWR
EBITDA (Quarter),2446800000000.0,2384280000000.0,2368130000000.0,2501200000000.0,2260900000000.0,2199130000000.0,2173080000000.0,2050110000000.0002,1805240000000.0,1737040000000.0,1663970000000.0,1672880000000.0,1541520000000.0,1768980000000.0,1227260000000.0,1484650000000.0,1359010000000.0,1228800000000.0,1204840000000.0,1227130000000.0,1400960000000.0,1205030000000.0,1071319999999.9999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TOWR
Return on Assets (Quarter),0.012700000000000001,0.0122,0.011200000000000002,0.013500000000000002,0.013500000000000002,0.013200000000000002,0.0134,0.0129,0.017,0.026000000000000002,0.0215,0.0271,0.0183,0.0229,0.016,0.0269,0.0233,0.02,0.0195,0.0215,0.027200000000000002,0.0235,0.027000000000000003,0.0101,0.0236,0.023100000000000002,0.0259,0.0292,0.0406,0.030699999999999998,0.0236,0.1155,0.0006,0.0163,0.0094,-0.0029,0.0179,0.0076,0.028300000000000002,0.0037,-0.0149,0.0113,0.0125,0.0070999999999999995,0.0121,0.0053,0.0087,0.0018,0.0014000000000000002,0.013200000000000002,0.02,0.0039000000000000003,0.015500000000000002,-0.0202,0.0143,0.0123,0.024300000000000002,0.0541,0.0023,-0.0803,0.0,0.0,0.0,0.0,TOWR
Return on Equity (Quarter),0.0543,0.0535,0.0495,0.0613,0.062400000000000004,0.0649,0.06620000000000001,0.0705,0.07780000000000001,0.0851,0.0726,0.09140000000000001,0.06269999999999999,0.0848,0.055700000000000006,0.08539999999999999,0.0727,0.0668,0.055999999999999994,0.061500000000000006,0.0792,0.0768,0.0683,0.0268,0.053099999999999994,0.0553,0.057,0.0683,0.0989,0.08960000000000001,0.063,0.322,0.0023,0.059000000000000004,0.0351,-0.010900000000000002,0.0683,0.031400000000000004,0.1103,0.015600000000000001,-0.0641,0.044500000000000005,0.0484,0.0282,0.0684,0.0325,0.0471,0.0101,0.0078000000000000005,0.0716,0.1094,0.0239,0.0944,-0.1345,0.085,0.0761,0.14550000000000002,0.3804,0.0278,-0.9159999999999999,0.0,0.0,0.0,0.0,TOWR
Return on Capital Employed (Quarter),0.0348,0.0346,0.034100000000000005,0.0379,0.0336,0.0346,0.0362,0.0404,0.0478,0.04730000000000001,0.0453,0.053099999999999994,0.042,0.0513,0.033100000000000004,0.056600000000000004,0.053200000000000004,0.0464,0.0467,0.0493,0.0584,0.054000000000000006,0.0527,0.0199,0.0424,0.043,0.0471,0.055700000000000006,0.0536,0.0582,0.042300000000000004,0.18969999999999998,0.0099,0.034,0.023799999999999998,0.027000000000000003,0.0412,0.025400000000000002,0.057800000000000004,0.0206,-0.013700000000000002,0.0276,0.0276,0.028900000000000002,0.0333,0.0209,0.027000000000000003,0.0176,0.018000000000000002,0.0385,0.0497,0.024,0.0381,0.0309,0.0449,0.0401,0.062000000000000006,0.10070000000000001,-0.0101,-0.1262,0.0,0.0,0.0,0.0,TOWR
Interest Coverage (Quarter),2.6,2.32,2.35,3.02,3.06,2.71,2.64,2.58,5.03,5.21,4.55,4.39,3.5,4.21,2.98,5.1,4.36,3.63,3.42,3.52,4.27,4.84,5.2,2.56,5.93,5.71,5.48,6.04,5.84,8.65,5.72,22.32,1.15,4.0,2.75,1.06,3.53,2.09,4.72,1.49,-1.12,2.87,3.0,1.7,2.14,1.63,1.89,1.26,1.23,2.42,2.69,1.26,2.4,0.51,1.98,2.22,2.85,4.46,-0.53,-3.89,0.0,0.0,0.0,0.0,TOWR
Share Outstanding,61240000000.0,61240000000.0,61240000000.0,61240000000.0,61240000000.0,61240000000.0,61240000000.0,61240000000.0,61200000000.0,61200000000.0,61200000000.0,5640000000.0,5640000000.0,5640000000.0,5640000000.0,5640000000.0,5640000000.0,5640000000.0,5640000000.0,5640000000.0,5640000000.0,5640000000.0,5640000000.0,5640000000.0,5640000000.0,5640000000.0,5640000000.0,5640000000.0,5640000000.0,5640000000.0,5640000000.0,5640000000.0,5640000000.0,5640000000.0,5640000000.0,5640000000.0,5640000000.0,5640000000.0,5640000000.0,5640000000.0,5640000000.0,5640000000.0,5640000000.0,5640000000.0,5640000000.0,5640000000.0,5640000000.0,5640000000.0,5130000000.0,5130000000.0,5130000000.0,5130000000.0,5130000000.0,5130000000.0,5130000000.0,3140000000.0,3140000000.0,630000000.0,630000000.0,630000000.0,0.0,0.0,0.0,0.0,EMTK
EPS (Quarter),4.6,-1.85,-5.4,-1.65,46.38,-22.34,66.5,88.86,-0.78,2.66,1.67,280.23,121.76,-9.39,-27.91,-98.65,-0.95,-156.36,-12.8,-374.86,-25.24,-28.18,-36.55,-10.13,-20.16,34.05,4.01,9.57,48.87,21.48,-11.63,-20.64,98.59,60.01,98.13,65.12,47.9,60.93,19.62,33.5,73.91,36.47,38.59,36.97,297.29,216.98,21.83,8.72,42.34,39.69,26.88,34.99,24.68,28.13,10.43,27.91,24.65,-10.71,69.34,220.01,0.0,0.0,0.0,0.0,EMTK
PE Ratio (Quarter),127.17,-383.78,-146.3,-624.24,32.77,-71.84,36.84,25.66,-2230.77,939.85,1359.28,49.96,61.6,-521.83,-179.15,-56.56,-5736.84,-49.25,-625.0,-22.41,-350.63,-317.6,-234.75,-937.81,-505.95,337.74,2194.51,1042.84,197.46,456.24,-812.55,-499.03,111.57,184.97,120.25,119.78,131.52,98.47,293.07,165.67,73.06,179.6,156.78,105.49,16.48,20.19,201.56,378.44,49.13,46.61,45.76,34.87,39.3,21.33,54.65,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,EMTK
Price to Sales (Quarter),-36.27,11.21,12.48,14.06,23.64,26.39,44.46,43.05,33.82,46.03,44.45,22.6,13.68,10.23,10.66,10.55,11.33,15.75,17.06,19.7,20.41,22.63,25.75,36.06,30.96,27.89,25.8,27.94,29.31,28.76,33.83,35.29,38.42,35.78,46.92,25.86,22.46,19.44,21.64,19.7,20.78,25.14,26.92,18.14,21.62,21.86,23.41,16.99,8.5,9.74,7.77,7.23,5.35,3.42,4.43,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,EMTK
EBITDA (Quarter),1437040000000.0,898990000000.0,777210000000.0,1765030000000.0,1340550000000.0,1174830000000.0,1008310000000.0,1007270000000.0,955340000000.0,1137240000000.0,1214960000000.0,1147310000000.0,1747530000000.0,475620000000.0,519070000000.00006,227150000000.0,205760000000.0,220170000000.0,437840000000.0,621420000000.0,767500000000.0,828050000000.0,694790000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,EMTK
Return on Assets (Quarter),0.006500000000000001,-0.0026000000000000003,-0.0076,-0.0023,0.0636,-0.031200000000000002,0.095,0.1426,-0.0017000000000000001,0.0063,0.0037,0.0884,0.039,-0.0031,-0.0085,-0.0317,-0.0003,-0.0492,-0.0037,-0.10830000000000001,-0.0064,-0.0070999999999999995,-0.0091,-0.0026000000000000003,-0.005200000000000001,0.0086,0.0011,0.0026000000000000003,0.0131,0.006,-0.0037,-0.0067,0.031200000000000002,0.0198,0.0294,0.018500000000000003,0.0161,0.023799999999999998,0.0085,0.0147,0.0348,0.018000000000000002,0.0204,0.020800000000000003,0.1739,0.1424,0.0172,0.0069,0.0326,0.0429,0.030699999999999998,0.041600000000000005,0.0301,0.0352,0.013500000000000002,0.0233,0.020499999999999997,-0.0019,0.0118,0.0363,0.0,0.0,0.0,0.0,EMTK
Return on Equity (Quarter),0.008,-0.0032,-0.009300000000000001,-0.0028000000000000004,0.0805,-0.0417,0.1216,0.19140000000000001,-0.0022,0.008,0.005,0.14800000000000002,0.071,-0.0058,-0.016200000000000003,-0.0564,-0.0005,-0.0801,-0.0061,-0.17739999999999997,-0.0101,-0.0113,-0.0144,-0.0039000000000000003,-0.0075,0.0129,0.0016,0.0039000000000000003,0.0195,0.0087,-0.0048,-0.0085,0.039900000000000005,0.0253,0.037200000000000004,0.0263,0.0239,0.0404,0.0139,0.0245,0.0563,0.029500000000000002,0.031200000000000002,0.0308,0.2475,0.2403,0.027700000000000002,0.011399999999999999,0.063,0.063,0.0454,0.062000000000000006,0.0453,0.0538,0.0203,0.0364,0.0332,-0.003,0.019,0.061500000000000006,0.0,0.0,0.0,0.0,EMTK
Return on Capital Employed (Quarter),0.0061,-0.0044,-0.005200000000000001,-0.0005,0.006,0.0059,0.0067,0.0031,0.0118,0.0174,0.028700000000000003,0.0102,0.0771,0.0043,-0.0042,-0.0519,-0.030699999999999998,-0.0294,-0.0087,-0.0144,0.0051,0.015300000000000001,0.0088,-0.0044,0.0037,0.0199,0.012700000000000001,0.0134,0.018500000000000003,0.027000000000000003,0.0118,0.0003,0.053899999999999997,0.0345,0.032100000000000004,0.025,0.026600000000000002,0.0527,0.0234,0.031200000000000002,0.066,0.043899999999999995,0.043,0.0379,0.0562,0.061,0.0475,0.0514,0.1075,0.0782,0.0547,0.06420000000000001,0.0605,0.06269999999999999,0.0338,0.048,0.050800000000000005,0.0167,0.032799999999999996,0.3281,0.0,0.0,0.0,0.0,EMTK
Interest Coverage (Quarter),18.26,-9.82,-7.47,-0.83,9.88,10.31,17.12,5.94,21.75,20.02,10.72,5.37,10.25,0.78,-1.28,-22.67,-37.31,-50.52,-12.85,-16.31,6.43,20.78,12.01,-5.89,5.38,27.16,16.45,46.96,50.84,59.94,22.69,0.7,114.98,69.28,23.5,10.51,8.28,14.34,6.23,9.37,22.2,16.36,24.14,24.91,156.24,13.27,7.06,5.99,6.49,19.58,12.99,14.87,12.83,13.27,6.74,7.28,11.51,2.88,5.49,3.98,0.0,0.0,0.0,0.0,EMTK
Share Outstanding,41520000000.0,41520000000.0,41520000000.0,41520000000.0,41520000000.0,41520000000.0,41520000000.0,41520000000.0,41520000000.0,41520000000.0,41520000000.0,41520000000.0,41520000000.0,41520000000.0,41520000000.0,41520000000.0,41520000000.0,41520000000.0,41520000000.0,41520000000.0,41520000000.0,41520000000.0,41520000000.0,41520000000.0,41520000000.0,41520000000.0,41520000000.0,41520000000.0,41520000000.0,41520000000.0,41520000000.0,41520000000.0,41520000000.0,38610000000.0,38610000000.0,38610000000.0,37750000000.0,37750000000.0,37750000000.0,37750000000.0,37750000000.0,3770000000.0,3770000000.0,3770000000.0,3770000000.0,3770000000.0,3770000000.0,3430000000.0,3430000000.0,3430000000.0,3430000000.0,3430000000.0,3430000000.0,3430000000.0,3430000000.0,3430000000.0,3430000000.0,3430000000.0,3430000000.0,3090000000.0,3090000000.0,3090000000.0,3090000000.0,0.0,AMRT
EPS (Quarter),13.91,20.15,18.68,26.59,11.98,13.92,16.27,20.32,6.11,8.52,12.03,10.19,3.5,3.44,8.44,11.13,6.02,4.78,4.86,7.59,2.82,2.35,2.91,4.89,0.52,0.05,1.77,5.81,6.5,0.57,1.6,5.56,4.07,2.33,-1.0,5.48,5.36,2.9,0.27,5.12,5.14,31.83,8.21,43.34,50.52,31.04,2.51,39.14,47.18,23.08,-4.3,30.15,34.58,17.02,-7.2,21.69,25.52,15.34,-8.24,6.8,21.93,18.27,-4.02,0.0,AMRT
PE Ratio (Quarter),212.8,128.04,154.18,99.66,199.5,146.55,93.42,59.79,225.86,146.71,74.81,78.51,190.0,231.1,94.79,79.07,165.28,191.42,185.19,123.19,329.79,319.15,209.62,124.74,1336.54,11400.0,293.79,107.57,80.77,1052.63,371.88,104.32,140.05,255.36,-570.0,91.24,94.22,177.59,1925.93,87.89,110.89,212.06,791.72,121.14,108.87,153.03,1992.03,100.92,78.42,147.31,-639.53,96.19,49.16,61.69,-123.61,23.97,16.46,25.42,-43.69,0.0,0.0,0.0,-0.0,0.0,AMRT
Price to Sales (Quarter),4.69,3.87,4.57,4.44,4.09,3.39,2.76,2.32,2.71,2.28,1.94,1.71,1.51,1.76,1.72,1.94,2.3,1.95,2.24,2.26,2.3,1.72,1.73,1.6,1.91,1.41,1.57,1.76,1.5,1.71,2.01,1.87,1.83,1.9,2.14,1.72,1.7,1.92,2.15,1.74,2.26,3.12,3.3,3.15,3.2,3.22,3.76,2.82,2.5,2.63,2.42,2.5,1.48,1.1,1.07,0.6,0.47,0.55,0.59,0.0,0.0,0.0,0.0,0.0,AMRT
EBITDA (Quarter),1765480000000.0,2040190000000.0,1940450000000.0,2326870000000.0,1544070000000.0,1643210000000.0,1740180000000.0,1982300000000.0,1349280000000.0,1339110000000.0,1482640000000.0,1470380000000.0,1044069999999.9999,1025060000000.0,1230900000000.0,1356260000000.0,1104660000000.0,1142410000000.0,1043660000000.0001,354920000000.0,1905850000000.0,962650000000.0,967170000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,AMRT
Return on Assets (Quarter),0.0175,0.025400000000000002,0.0215,0.0359,0.0167,0.02,0.021400000000000002,0.030699999999999998,0.0095,0.013300000000000001,0.0173,0.0163,0.005699999999999999,0.0061,0.0116,0.0193,0.010700000000000001,0.0088,0.0087,0.014199999999999999,0.0055000000000000005,0.0043,0.0054,0.009300000000000001,0.001,0.0001,0.0036,0.0124,0.0151,0.0012,0.0043,0.0152,0.0115,0.0055000000000000005,-0.0028000000000000004,0.0151,0.015600000000000001,0.008100000000000001,0.0009,0.0176,0.0179,0.011200000000000002,0.0034999999999999996,0.021800000000000003,0.028999999999999998,0.0188,0.0017000000000000001,0.0268,0.0357,0.0175,-0.0034999999999999996,0.024300000000000002,0.0316,0.0166,-0.0085,0.026000000000000002,0.0342,0.0223,-0.012700000000000001,0.0091,0.030600000000000002,0.029700000000000004,-0.0072,0.0,AMRT
Return on Equity (Quarter),0.0477,0.071,0.06559999999999999,0.0984,0.051,0.062400000000000004,0.07150000000000001,0.096,0.031200000000000002,0.044800000000000006,0.063,0.057,0.021400000000000002,0.0215,0.049400000000000006,0.069,0.0391,0.0323,0.0333,0.0538,0.021800000000000003,0.018600000000000002,0.023100000000000002,0.039700000000000006,0.0043,0.0004,0.0141,0.047,0.05480000000000001,0.0051,0.0139,0.0488,0.0375,0.0207,-0.013500000000000002,0.0729,0.0804,0.047400000000000005,0.0042,0.0821,0.0882,0.0599,0.0149,0.0534,0.0659,0.045599999999999995,0.0036,0.092,0.12119999999999999,0.0667,-0.013500000000000002,0.0953,0.11900000000000001,0.0665,-0.0285,0.0836,0.1072,0.0722,-0.039900000000000005,0.0347,0.1158,0.1091,-0.0269,0.0,AMRT
Return on Capital Employed (Quarter),0.053200000000000004,0.0795,0.0747,0.1129,0.056100000000000004,0.0665,0.07769999999999999,0.1023,0.047599999999999996,0.0468,0.0618,0.06269999999999999,0.0256,0.024900000000000002,0.044500000000000005,0.0631,0.0386,0.0361,0.031000000000000003,0.0521,0.028700000000000003,0.0292,0.032799999999999996,0.049800000000000004,0.0221,0.0198,0.0276,0.0546,0.0564,0.017,0.0255,0.0587,0.0449,0.0354,0.0191,0.08460000000000001,0.0735,0.048600000000000004,0.0253,0.0898,0.0888,0.0558,0.0234,0.0646,0.0784,0.0477,0.012,0.09369999999999999,0.11560000000000001,0.0639,0.008199999999999999,0.0956,0.125,0.0792,-0.0154,0.0907,0.12060000000000001,0.08310000000000001,-0.0253,0.0949,0.1069,0.1168,-0.0453,0.0,AMRT
Interest Coverage (Quarter),21.54,23.71,20.73,30.12,14.83,17.55,19.22,7.33,10.68,9.92,9.51,8.1,3.35,2.2,4.95,6.96,4.0,3.78,3.4,4.72,2.2,1.91,2.1,2.86,1.15,0.99,1.53,3.0,3.3,1.17,1.86,4.15,2.82,1.68,0.71,3.25,2.94,2.22,1.09,3.57,3.87,3.7,1.48,15.26,23.61,30.53,1.44,7.71,9.62,4.59,0.56,6.26,8.95,6.61,-1.29,10.06,11.89,5.92,-1.64,4.33,8.99,8.53,-1.71,0.0,AMRT
Share Outstanding,17230000000.0,17230000000.0,17230000000.0,15660000000.0,15660000000.0,15660000000.0,15660000000.0,15660000000.0,15660000000.0,15660000000.0,15660000000.0,15660000000.0,14300000000.0,14300000000.0,14300000000.0,14300000000.0,14300000000.0,14300000000.0,14300000000.0,14300000000.0,14300000000.0,14300000000.0,14300000000.0,11000000000.0,1100000000.0,1100000000.0,1100000000.0,1100000000.0,1100000000.0,1100000000.0,1100000000.0,1100000000.0,1100000000.0,1100000000.0,1100000000.0,1100000000.0,1100000000.0,1100000000.0,1100000000.0,1100000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,550000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ESSA
EPS (Quarter),5.32,0.76,2.71,36.45,38.2,39.82,23.76,5.28,17.42,-15.92,5.96,-3.14,-8.39,-7.95,1.18,-1.94,0.32,-0.6,4.78,29.78,8.33,0.95,2.88,-0.21,11.06,11.25,11.32,1.0,-2.04,-2.07,6.48,-0.67,18.94,15.81,31.67,5.53,38.36,35.42,42.71,44.17,43.21,33.21,36.67,-11.06,25.36,21.26,36.74,-10.08,0.0,0.0,0.0,865185.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ESSA
PE Ratio (Quarter),149.44,763.16,348.71,25.1,26.05,20.97,51.14,100.38,17.45,-22.86,58.72,-66.88,-16.33,-19.37,114.41,-138.14,793.75,-510.0,83.68,10.81,32.41,280.0,107.64,-1028.57,159.95,218.93,174.03,1590.0,-647.55,-719.32,233.18,-2422.39,82.73,149.4,68.23,532.37,85.22,57.51,39.57,52.98,64.78,81.24,76.93,-275.32,99.76,111.1,58.19,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ESSA
Price to Sales (Quarter),12.68,8.28,12.37,4.91,4.78,4.45,8.33,9.35,3.34,5.58,5.49,5.56,4.1,6.48,1.87,5.49,4.95,5.3,6.92,4.47,4.96,25.7,23.73,21.85,16.11,23.88,19.07,16.05,18.0,17.52,15.45,15.73,10.94,17.69,16.87,32.66,27.36,16.05,14.69,16.42,17.42,28.42,27.39,25.41,37.0,27.21,19.98,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ESSA
EBITDA (Quarter),383660000000.0,287740000000.0,338500000000.0,1402880000000.0,1524010000000.0,1485130000000.0,991270000000.0,274820000000.0,769460000000.0,453330000000.0,413360000000.0,226000000000.0,19910000000.0,38800000000.0,307540000000.0,252260000000.0,168130000000.0,229280000000.0,334750000000.0,498460000000.0,344210000000.0,61870000000.0,89810000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ESSA
Return on Assets (Quarter),0.0078000000000000005,0.0011,0.0036,0.044000000000000004,0.0468,0.0479,0.030299999999999997,0.0072,0.0235,-0.0219,0.0049,-0.0045000000000000005,-0.0094,-0.009300000000000001,0.0011,-0.0022,0.0003,-0.0007000000000000001,0.0051,0.0318,0.0089,0.0011,0.0034999999999999996,-0.0002,0.0012,0.0013000000000000002,0.0013000000000000002,0.0001,-0.0003,-0.0004,0.0018,-0.0002,0.006,0.009000000000000001,0.0191,0.0034999999999999996,0.03,0.0288,0.039,0.0337,0.032400000000000005,0.0382,0.0471,-0.0141,0.0323,0.027700000000000002,0.048600000000000004,-0.0085,0.0,0.0,0.0,0.2754,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ESSA
Return on Equity (Quarter),0.0143,0.0021,0.0068000000000000005,0.1039,0.1232,0.14980000000000002,0.1067,0.0271,0.0929,-0.0919,0.0317,-0.018000000000000002,-0.0472,-0.0446,0.0055000000000000005,-0.0106,0.0016,-0.0031,0.024,0.1501,0.0472,0.0059,0.0191,-0.0015,0.0077,0.0078000000000000005,0.0079,0.0007000000000000001,-0.0013000000000000002,-0.0012,0.0040999999999999995,-0.0004,0.013700000000000002,0.0128,0.0263,0.005,0.0352,0.0345,0.0449,0.0454,0.0442,0.0599,0.07200000000000001,-0.0234,0.0535,0.0467,0.0893,-0.0422,0.0,0.0,0.0,0.4565,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ESSA
Return on Capital Employed (Quarter),0.0211,0.010900000000000002,0.014499999999999999,0.111,0.1226,0.1216,0.07940000000000001,0.0129,0.055700000000000006,0.0235,0.0222,0.0049,-0.0138,-0.0113,0.011399999999999999,0.0073,0.0005,0.0055000000000000005,0.0146,0.0271,0.024100000000000003,0.004,0.0073,0.003,0.0032,0.0033000000000000004,0.0034000000000000002,0.0019,0.0009,0.0018,0.006,0.0063,0.011000000000000001,0.0195,0.0242,0.0118,0.0426,0.048,0.0558,0.0556,0.0529,0.07150000000000001,0.0764,-0.0453,0.029500000000000002,0.0677,0.0861,0.0796,0.0,0.0,0.6332,1.3319999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ESSA
Interest Coverage (Quarter),3.6,1.41,1.72,10.88,10.55,10.02,6.61,1.14,6.06,0.35,1.79,0.62,-1.06,-1.3,0.89,0.76,0.05,0.37,1.29,1.38,3.81,2.7,4.52,1.52,1.84,2.07,2.0,0.84,0.42,0.55,1.82,1.22,2.78,12.37,18.85,2.73,4.53,37.18,37.92,12.61,11.04,17.14,24.69,-11.07,7.18,19.23,13.25,4.51,19.24,18.1,22.25,10.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ESSA
